ed,candidacy_id,name,first_choice,final_round,is_major
28059,218491,Dianne Morales,1,0,True
28059,221183,Shaun Donovan,1,0,True
28060,217796,Andrew Yang,24,0,True
28060,217572,Eric L. Adams,12,22,True
28060,217605,Scott M. Stringer,7,0,True
28060,219978,Kathryn A. Garcia,16,43,True
28060,219469,Maya D. Wiley,15,0,True
28060,218127,Raymond J. McGuire,3,0,True
28060,221141,Art Chang,1,0,False
28060,218491,Dianne Morales,5,0,True
28060,221183,Shaun Donovan,2,0,True
28061,217796,Andrew Yang,46,0,True
28061,217605,Scott M. Stringer,13,0,True
28061,219978,Kathryn A. Garcia,42,92,True
28061,219469,Maya D. Wiley,15,0,True
28061,218127,Raymond J. McGuire,2,0,True
28061,221458,Isaac Wright Jr.,1,0,False
28061,221141,Art Chang,4,0,False
28061,217572,Eric L. Adams,30,46,True
28061,217654,Aaron S. Foldenauer,2,0,False
28061,218491,Dianne Morales,3,0,True
28061,221183,Shaun Donovan,5,0,True
28062,217796,Andrew Yang,50,0,True
28062,217572,Eric L. Adams,21,33,True
28062,217605,Scott M. Stringer,8,0,True
28062,219978,Kathryn A. Garcia,23,61,True
28062,219469,Maya D. Wiley,18,0,True
28062,218127,Raymond J. McGuire,0,0,True
28062,221141,Art Chang,3,0,False
28062,217654,Aaron S. Foldenauer,3,0,False
28062,218491,Dianne Morales,1,0,True
28062,221183,Shaun Donovan,3,0,True
28063,217796,Andrew Yang,55,0,True
28063,217572,Eric L. Adams,27,60,True
28063,217605,Scott M. Stringer,12,0,True
28063,219978,Kathryn A. Garcia,52,107,True
28063,219469,Maya D. Wiley,42,0,True
28063,218127,Raymond J. McGuire,4,0,True
28063,221141,Art Chang,1,0,False
28063,218491,Dianne Morales,2,0,True
28063,221183,Shaun Donovan,8,0,True
28064,217796,Andrew Yang,23,0,True
28064,217572,Eric L. Adams,21,29,True
28064,217605,Scott M. Stringer,10,0,True
28064,219978,Kathryn A. Garcia,29,62,True
28064,219469,Maya D. Wiley,15,0,True
28064,218127,Raymond J. McGuire,2,0,True
28064,221141,Art Chang,2,0,False
28064,217654,Aaron S. Foldenauer,2,0,False
28064,218491,Dianne Morales,1,0,True
28064,221183,Shaun Donovan,5,0,True
28065,217796,Andrew Yang,62,0,True
28065,217572,Eric L. Adams,33,51,True
28065,217605,Scott M. Stringer,18,0,True
28065,219978,Kathryn A. Garcia,58,140,True
28065,219469,Maya D. Wiley,39,0,True
28065,218127,Raymond J. McGuire,6,0,True
28065,221141,Art Chang,2,0,False
28065,218491,Dianne Morales,10,0,True
28065,221183,Shaun Donovan,8,0,True
28066,217796,Andrew Yang,84,0,True
28066,217572,Eric L. Adams,26,61,True
28066,217605,Scott M. Stringer,17,0,True
28066,218117,Paperboy Love Prince,1,0,False
28066,219978,Kathryn A. Garcia,62,151,True
28066,219469,Maya D. Wiley,40,0,True
28066,218127,Raymond J. McGuire,8,0,True
28066,221141,Art Chang,2,0,False
28066,218491,Dianne Morales,1,0,True
28066,221183,Shaun Donovan,6,0,True
28067,217796,Andrew Yang,82,0,True
28067,217572,Eric L. Adams,42,75,True
28067,217605,Scott M. Stringer,22,0,True
28067,218117,Paperboy Love Prince,2,0,False
28067,219978,Kathryn A. Garcia,78,166,True
28067,219469,Maya D. Wiley,34,0,True
28067,218127,Raymond J. McGuire,8,0,True
28067,221141,Art Chang,4,0,False
28067,218491,Dianne Morales,4,0,True
28067,221183,Shaun Donovan,3,0,True
28068,217796,Andrew Yang,58,0,True
28068,217605,Scott M. Stringer,15,0,True
28068,218117,Paperboy Love Prince,1,0,False
28068,219978,Kathryn A. Garcia,73,128,True
28068,219469,Maya D. Wiley,38,0,True
28068,218127,Raymond J. McGuire,2,0,True
28068,221141,Art Chang,2,0,False
28068,217572,Eric L. Adams,47,80,True
28068,217654,Aaron S. Foldenauer,3,0,False
