ed,ballots,first_choice_total,final_round_active,first_winner_id,first_winner,first_winner_pct,final_winner_id,final_winner,final_winner_pct
49054,216,216,216,0,Curtis A. Sliwa,68.51851851851852,0,Curtis A. Sliwa,68.51851851851852
49055,90,90,90,0,Curtis A. Sliwa,57.77777777777777,0,Curtis A. Sliwa,57.77777777777777
49056,19,19,19,0,Eric L. Adams,42.10526315789473,0,Eric L. Adams,42.10526315789473
49057,60,60,60,0,Curtis A. Sliwa,55.00000000000001,0,Curtis A. Sliwa,55.00000000000001
49058,196,196,196,0,Curtis A. Sliwa,64.79591836734694,0,Curtis A. Sliwa,64.79591836734694
49059,168,168,168,0,Curtis A. Sliwa,57.14285714285714,0,Curtis A. Sliwa,57.14285714285714
49060,9,9,9,0,Curtis A. Sliwa,55.55555555555556,0,Curtis A. Sliwa,55.55555555555556
49061,124,124,124,0,Curtis A. Sliwa,58.87096774193549,0,Curtis A. Sliwa,58.87096774193549
49062,113,113,113,0,Curtis A. Sliwa,61.06194690265486,0,Curtis A. Sliwa,61.06194690265486
49063,246,246,246,0,Curtis A. Sliwa,71.13821138211382,0,Curtis A. Sliwa,71.13821138211382
49064,80,80,80,0,Curtis A. Sliwa,66.25,0,Curtis A. Sliwa,66.25
49065,200,200,200,0,Curtis A. Sliwa,60.0,0,Curtis A. Sliwa,60.0
49066,104,104,104,0,Eric L. Adams,52.88461538461539,0,Eric L. Adams,52.88461538461539
49067,68,68,68,0,Eric L. Adams,55.88235294117647,0,Eric L. Adams,55.88235294117647
49068,62,62,62,0,Curtis A. Sliwa,56.451612903225815,0,Curtis A. Sliwa,56.451612903225815
49069,121,121,121,0,Curtis A. Sliwa,58.67768595041323,0,Curtis A. Sliwa,58.67768595041323
49070,205,205,205,0,Curtis A. Sliwa,60.48780487804878,0,Curtis A. Sliwa,60.48780487804878
50001,69,69,69,0,Eric L. Adams,57.971014492753625,0,Eric L. Adams,57.971014492753625
50002,191,191,191,0,Eric L. Adams,75.91623036649214,0,Eric L. Adams,75.91623036649214
50003,390,390,390,0,Eric L. Adams,77.6923076923077,0,Eric L. Adams,77.6923076923077
50004,139,139,139,0,Eric L. Adams,75.53956834532374,0,Eric L. Adams,75.53956834532374
50005,279,279,279,0,Eric L. Adams,70.96774193548387,0,Eric L. Adams,70.96774193548387
50006,224,224,224,0,Eric L. Adams,70.53571428571429,0,Eric L. Adams,70.53571428571429
50007,162,162,162,0,Eric L. Adams,65.4320987654321,0,Eric L. Adams,65.4320987654321
50008,267,267,267,0,Eric L. Adams,73.40823970037454,0,Eric L. Adams,73.40823970037454
50009,261,261,261,0,Eric L. Adams,67.43295019157088,0,Eric L. Adams,67.43295019157088
50010,267,267,267,0,Eric L. Adams,64.41947565543072,0,Eric L. Adams,64.41947565543072
50011,103,103,103,0,Eric L. Adams,72.81553398058253,0,Eric L. Adams,72.81553398058253
50012,235,235,235,0,Eric L. Adams,56.59574468085107,0,Eric L. Adams,56.59574468085107
50013,1,1,1,0,Eric L. Adams,100.0,0,Eric L. Adams,100.0
50014,89,89,89,0,Eric L. Adams,93.25842696629213,0,Eric L. Adams,93.25842696629213
50015,176,176,176,0,Eric L. Adams,61.93181818181818,0,Eric L. Adams,61.93181818181818
50016,160,160,160,0,Eric L. Adams,85.0,0,Eric L. Adams,85.0
50017,169,169,169,0,Eric L. Adams,79.28994082840237,0,Eric L. Adams,79.28994082840237
50018,187,187,187,0,Eric L. Adams,75.93582887700535,0,Eric L. Adams,75.93582887700535
50019,241,241,241,0,Eric L. Adams,69.29460580912863,0,Eric L. Adams,69.29460580912863
50020,225,225,225,0,Eric L. Adams,72.0,0,Eric L. Adams,72.0
50021,258,258,258,0,Eric L. Adams,66.27906976744185,0,Eric L. Adams,66.27906976744185
50022,188,188,188,0,Eric L. Adams,56.91489361702128,0,Eric L. Adams,56.91489361702128
50023,26,26,26,0,Eric L. Adams,96.15384615384616,0,Eric L. Adams,96.15384615384616
50025,70,70,70,0,Eric L. Adams,87.14285714285714,0,Eric L. Adams,87.14285714285714
50026,305,305,305,0,Eric L. Adams,77.37704918032787,0,Eric L. Adams,77.37704918032787
50027,315,315,315,0,Eric L. Adams,66.66666666666666,0,Eric L. Adams,66.66666666666666
50028,277,277,277,0,Eric L. Adams,68.59205776173285,0,Eric L. Adams,68.59205776173285
50029,206,206,206,0,Eric L. Adams,70.3883495145631,0,Eric L. Adams,70.3883495145631
50030,287,287,287,0,Eric L. Adams,61.32404181184668,0,Eric L. Adams,61.32404181184668
50031,262,262,262,0,Eric L. Adams,61.832061068702295,0,Eric L. Adams,61.832061068702295
50032,263,263,263,0,Eric L. Adams,53.2319391634981,0,Eric L. Adams,53.2319391634981
50033,317,317,317,0,Eric L. Adams,61.82965299684543,0,Eric L. Adams,61.82965299684543
50034,235,235,235,0,Eric L. Adams,68.93617021276596,0,Eric L. Adams,68.93617021276596
50035,268,268,268,0,Eric L. Adams,68.28358208955224,0,Eric L. Adams,68.28358208955224
50036,180,180,180,0,Eric L. Adams,75.0,0,Eric L. Adams,75.0
50037,253,253,253,0,Eric L. Adams,79.84189723320159,0,Eric L. Adams,79.84189723320159
50038,193,193,193,0,Eric L. Adams,78.23834196891191,0,Eric L. Adams,78.23834196891191
50039,179,179,179,0,Eric L. Adams,87.15083798882681,0,Eric L. Adams,87.15083798882681
50040,204,204,204,0,Eric L. Adams,84.80392156862744,0,Eric L. Adams,84.80392156862744
50041,256,256,256,0,Eric L. Adams,62.890625,0,Eric L. Adams,62.890625
50042,275,275,275,0,Eric L. Adams,63.63636363636363,0,Eric L. Adams,63.63636363636363
50043,152,152,152,0,Eric L. Adams,81.57894736842105,0,Eric L. Adams,81.57894736842105
